Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$136.57,-0.63,-0.459%,41441241238.00,United States,1999,1395730,Capital Goods,Electrical Products
AA,Alcoa Corporation Common Stock ,$40.00,-0.98,-2.391%,7468989800.00,,2016,5502355,Basic Industries,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,$9.79,-0.03,-0.305%,1223750000.00,,2021,673132,Finance,Business Services
AACG,ATA Creativity Global American Depositary Shares,$3.12,0.12,4.00%,98907707.00,China,,152628,Miscellaneous,Service to the Health Industry
AACQ,Artius Acquisition Inc. Class A Common Stock,$9.95,0.01,0.101%,901096875.00,United States,2020,1725216,Basic Industries,Major Chemicals
AACQU,Artius Acquisition Inc. Unit ,$10.6199,0.1299,1.238%,0.00,United States,2020,15705,Basic Industries,Major Chemicals
AACQW,Artius Acquisition Inc Warrant,$1.90,0.17,9.827%,0.00,United States,2020,110348,Basic Industries,Major Chemicals
AAIC,Arlington Asset Investment Corp Class A (new),$4.06,-0.03,-0.733%,135933595.00,United States,,124081,Finance,Finance/Investors Services
AAIC^B,Arlington Asset Investment Corp 7.00% ,$24.95,-0.0423,-0.169%,,United States,,3478,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,$25.2499,-0.1401,-0.552%,,United States,,1888,,
AAL,American Airlines Group Inc. Common Stock,$25.82,1.15,4.662%,16560512236.00,United States,,57565947,Transportation,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,$17.29,0.00,0.00%,35415436.00,United States,,363,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,$5.00,0.57,12.867%,102078910.00,United States,,1606735,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,$36.09,0.01,0.028%,1296813200.00,United States,2020,289087,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,$8.64,0.10,1.171%,232088440.00,United States,2013,761040,Technology,Semiconductors
AAON,AAON Inc. Common Stock,$63.70,-2.54,-3.835%,3340120138.00,United States,,157096,Capital Goods,Industrial Machinery/Components
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$191.33,-3.32,-1.706%,12486387130.00,United States,,1605362,Consumer Services,Other Specialty Stores
AAPL,Apple Inc. Common Stock,$125.06,0.78,0.628%,2168207740400.00,United States,1980,59191032,Technology,Computer Manufacturing
AAQC,Accelerate Acquisition Corp. Class A Common Stock,$9.71,0.03,0.31%,485500000.00,,2021,23597,,
AAT,American Assets Trust Inc. Common Stock,$38.40,0.57,1.507%,2322135782.00,United States,2011,376403,Consumer Services,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,$0.5467,-0.0033,-0.60%,75018944.00,Canada,2015,1212772,Basic Industries,Precious Metals
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$74.33,-0.73,-0.973%,2156225219.00,United States,,297595,Transportation,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,$45.01,-0.12,-0.266%,4523048103.00,United States,,208776,Finance,Investment Managers
ABB,ABB Ltd Common Stock,$34.78,0.07,0.202%,70400272557.00,Switzerland,,1012075,Consumer Durables,Electrical Products
